player_name,ast,gp,pts,ts_pct,ast_pct,usg_pct,net_rating,reb,height,weight,position_ratings
Joe Courtney,0.0,9,2.8,0.3879999999999999,0.0,0.151,-6.1,1.8,203.2,106.59412,"{'point guard': 1.8, 'shooting guard': 2.3175999999999997, 'small forward': 0.10569999999999999, 'forward': -2.9399999999999995, 'center': 154.89706}"
Shawn Respert,1.0,41,4.2,0.551,0.132,0.1639999999999999,-4.1,1.0,187.96,83.91452,"{'point guard': 9.000000000000002, 'shooting guard': 3.4702, 'small forward': 0.15439999999999993, 'forward': -2.0599999999999996, 'center': 135.93726}"
Kenny Anderson,7.1,82,17.5,0.54,0.31,0.222,4.8,4.4,185.42,76.203456,"{'point guard': 22.080000000000002, 'shooting guard': 14.108, 'small forward': 0.24839999999999998, 'forward': 4.640000000000001, 'center': 130.811728}"
Marcus Brown,1.0,21,3.9,0.523,0.1689999999999999,0.221,4.0,0.7,190.5,83.91452,"{'point guard': 5.0, 'shooting guard': 3.2246, 'small forward': 0.20539999999999997, 'forward': 2.6799999999999997, 'center': 137.20726}"
Chris Morris,0.6,73,4.3,0.486,0.075,0.178,-7.3,2.2,203.2,99.79024,"{'point guard': 15.080000000000002, 'shooting guard': 3.5372, 'small forward': 0.14709999999999998, 'forward': -3.5, 'center': 151.49512}"
Avery Johnson,6.8,76,10.5,0.517,0.353,0.175,-8.6,1.9,180.34,81.64656,"{'point guard': 20.64, 'shooting guard': 8.503400000000001, 'small forward': 0.2284, 'forward': -4.3999999999999995, 'center': 130.99328}"
Sasha Danilovic,1.8,56,12.5,0.552,0.103,0.196,1.5,2.4,198.12,90.7184,"{'point guard': 12.64, 'shooting guard': 10.1104, 'small forward': 0.16809999999999997, 'forward': 1.8599999999999999, 'center': 144.4192}"
Zan Tabak,1.1,13,6.5,0.501,0.111,0.2189999999999999,-12.2,3.8,213.36,111.13004,"{'point guard': 3.4800000000000004, 'shooting guard': 5.3002, 'small forward': 0.1865999999999999, 'forward': -5.799999999999999, 'center': 162.24502}"
Adam Keefe,0.5,62,3.8,0.5720000000000001,0.051,0.126,6.7,3.5,205.74,109.315672,"{'point guard': 12.8, 'shooting guard': 3.1544, 'small forward': 0.1035, 'forward': 5.42, 'center': 157.527836}"
Ed O'Bannon,0.6,64,3.7,0.3989999999999999,0.077,0.1669999999999999,-8.7,2.3,203.2,100.697424,"{'point guard': 13.280000000000001, 'shooting guard': 3.0398000000000005, 'small forward': 0.13999999999999993, 'forward': -4.3, 'center': 151.948712}"
Lou Roe,0.4,17,2.4,0.355,0.103,0.249,-14.4,0.8,200.66,99.79024,"{'point guard': 3.7200000000000006, 'shooting guard': 1.9909999999999999, 'small forward': 0.2052, 'forward': -8.32, 'center': 150.22512}"
Herb Williams,0.2,21,1.9,0.408,0.045,0.132,-10.8,1.5,210.82,117.93392,"{'point guard': 4.36, 'shooting guard': 1.6016, 'small forward': 0.1059, 'forward': -5.880000000000001, 'center': 164.37696}"
Kerry Kittles,3.0,82,16.4,0.523,0.139,0.1989999999999999,-5.2,3.9,195.58,81.19296800000001,"{'point guard': 18.800000000000004, 'shooting guard': 13.224599999999999, 'small forward': 0.18099999999999994, 'forward': -1.56, 'center': 138.386484}"
Mario Elie,4.0,78,11.7,0.662,0.172,0.139,5.6,3.0,195.58,95.25432,"{'point guard': 18.8, 'shooting guard': 9.4924, 'small forward': 0.14889999999999998, 'forward': 4.5600000000000005, 'center': 145.41716000000002}"
Dale Davis,0.7,80,10.4,0.532,0.04,0.159,-0.2,9.7,210.82,104.32616,"{'point guard': 16.56, 'shooting guard': 8.426400000000001, 'small forward': 0.12329999999999999, 'forward': 3.76, 'center': 157.57308}"
Oliver Miller,1.4,61,4.8,0.539,0.1159999999999999,0.141,-1.0,5.0,205.74,140.61352,"{'point guard': 13.32, 'shooting guard': 3.9478, 'small forward': 0.13349999999999995, 'forward': 1.4, 'center': 173.17676}"
Horace Grant,2.4,67,12.6,0.546,0.1119999999999999,0.161,1.1,9.0,208.28,111.13004,"{'point guard': 15.32, 'shooting guard': 10.1892, 'small forward': 0.14629999999999996, 'forward': 4.26, 'center': 159.70502}"
David Wood,0.3,46,1.2,0.621,0.085,0.1,3.9,0.6,205.74,104.32616,"{'point guard': 9.440000000000001, 'shooting guard': 1.0842, 'small forward': 0.0955, 'forward': 2.58, 'center': 155.03308}"
Michael Finley,2.7,83,15.0,0.53,0.147,0.221,-6.5,4.5,200.66,97.52228,"{'point guard': 18.76, 'shooting guard': 12.106, 'small forward': 0.1988, 'forward': -2.0999999999999996, 'center': 149.09114}"
Craig Ehlo,1.1,62,3.5,0.412,0.13,0.166,5.7,1.8,198.12,81.64656,"{'point guard': 13.280000000000001, 'shooting guard': 2.8824, 'small forward': 0.1552, 'forward': 4.14, 'center': 139.88328}"
Mark Price,4.9,70,11.3,0.597,0.289,0.192,-3.1,2.6,182.88,81.64656,"{'point guard': 17.92, 'shooting guard': 9.159400000000002, 'small forward': 0.22109999999999996, 'forward': -0.8199999999999998, 'center': 132.26328}"
Malik Rose,0.6,54,3.0,0.515,0.089,0.161,1.3,3.0,200.66,113.398,"{'point guard': 11.280000000000001, 'shooting guard': 2.5030000000000006, 'small forward': 0.1394, 'forward': 1.9800000000000002, 'center': 157.029}"
Bryon Russell,1.5,81,10.8,0.6,0.07,0.15,13.5,4.1,200.66,102.0582,"{'point guard': 17.4, 'shooting guard': 8.76, 'small forward': 0.126, 'forward': 9.74, 'center': 151.3591}"
Dontonio Wingfield,1.0,47,4.5,0.501,0.14,0.204,1.3,2.9,203.2,116.119552,"{'point guard': 10.200000000000001, 'shooting guard': 3.7002, 'small forward': 0.1848, 'forward': 1.94, 'center': 159.659776}"
Darrick Martin,4.1,82,10.9,0.539,0.292,0.2319999999999999,-4.5,1.4,180.34,77.11064,"{'point guard': 19.680000000000003, 'shooting guard': 8.8278, 'small forward': 0.24999999999999994, 'forward': -2.1399999999999997, 'center': 128.72532}"
Damon Stoudamire,8.8,81,20.2,0.516,0.38,0.253,-3.7,4.1,177.8,77.56423199999999,"{'point guard': 23.240000000000002, 'shooting guard': 16.2632, 'small forward': 0.29109999999999997, 'forward': -0.5800000000000003, 'center': 127.68211600000001}"
Steve Kerr,2.1,82,8.1,0.667,0.14,0.13,10.1,1.6,190.5,81.64656,"{'point guard': 18.080000000000002, 'shooting guard': 6.6134, 'small forward': 0.133, 'forward': 6.699999999999999, 'center': 136.07328}"
Armen Gilliam,0.7,80,8.6,0.5429999999999999,0.042,0.1689999999999999,-3.7,6.2,205.74,117.93392,"{'point guard': 16.56, 'shooting guard': 6.9886, 'small forward': 0.1308999999999999, 'forward': 0.26000000000000023, 'center': 161.83696}"
Erick Strickland,2.4,28,10.6,0.51,0.161,0.216,-6.4,3.2,190.5,95.25432,"{'point guard': 7.5200000000000005, 'shooting guard': 8.582, 'small forward': 0.1995, 'forward': -2.5599999999999996, 'center': 142.87716}"
John Crotty,2.1,48,4.8,0.637,0.287,0.161,-2.1,1.0,187.96,83.91452,"{'point guard': 11.280000000000001, 'shooting guard': 3.9674, 'small forward': 0.19879999999999998, 'forward': -0.86, 'center': 135.93726}"
